date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:05:21	32313/32313	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Apr%202021%2004:56:47%20GMT	https://depoaplus.com/wp-content/uploads/2021/04/APLUS-GYPSOUND-768x384.jpg	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-content/uploads/2021/04/APLUS-GYPSOUND-768x384.jpg	(from https://depoaplus.com/blog/page/3/)
14:05:22	926/926	---MC-	200	added ('OK')	application/rss+xml	etag:%22896301d10b4b55bb166c986c907a351b%22	https://depoaplus.com/elementor-2092/feed/	E:/WEBSITE/DEPO%20GADING/depoaplus.com/elementor-2092/feed/index.html	(from https://depoaplus.com/elementor-2092/)
14:05:23	22674/22674	---MC-	200	added ('OK')	application/json	date:Mon,%2027%20Mar%202023%2007:05:20%20GMT	https://depoaplus.com/wp-json/wp/v2/posts/2092	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-json/wp/v2/posts/2092.json	(from https://depoaplus.com/elementor-2092/)
14:05:24	3057/3057	---MC-	200	added ('OK')	application/json	date:Mon,%2027%20Mar%202023%2007:05:22%20GMT	https://depoaplus.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdepoaplus.com%2Felementor-2092%2F	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-json/oembed/1.0/embed25f6.json	(from https://depoaplus.com/elementor-2092/)
14:05:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Mar%202023%2007:05:22%20GMT	https://depoaplus.com/?p=2092	E:/WEBSITE/DEPO%20GADING/depoaplus.com/indexccbb.html	(from https://depoaplus.com/elementor-2092/)
14:05:26	3147/3147	---MC-	200	added ('OK')	text/xml	date:Mon,%2027%20Mar%202023%2007:05:23%20GMT	https://depoaplus.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdepoaplus.com%2Felementor-2092%2F&format=xml	E:/WEBSITE/DEPO%20GADING/depoaplus.com/wp-json/oembed/1.0/embed540d	(from https://depoaplus.com/elementor-2092/)
14:05:31	2322/2322	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2007:05:24%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/?C=N;O=A	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/indexb70a.html	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/?C=N;O=D)
14:05:31	2322/2322	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2007:05:24%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/?C=M;O=D	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/index72c9.html	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/?C=M;O=A)
14:05:31	2322/2322	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2007:05:25%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/?C=S;O=D	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/index5851.html	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/?C=S;O=A)
14:05:31	2322/2322	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Mar%202023%2007:05:25%20GMT	https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/?C=D;O=D	E:/WEBSITE/DEPO%20GADING/depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/indexad3f.html	(from https://depoaplus.com/jogjakarta/wp-content/plugins/presto-player/dist/?C=D;O=A)
